region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,NDVI_index,crop_disease_status,crop_duration_days,Stress_Index,water_index,Fertility_Index,temp_humidity_index
North India,Wheat,0.9072931453004136,-0.9128293238011538,-1.2886084862186566,-1.4686322429112464,0.809090718226208,0.14193084816573198,Sprinkler,Organic,-1.5351157635015305,0.1492142500786749,0.3197447227247272,0.1594506898556617,Mild,0.1492142500786749,0.6321223883696362,-0.7616827024546754,0.6029114907946959,-0.47018399148496837
South USA,Soybean,-0.6913422562513166,1.224023469845505,1.0300760915099767,-1.2707667045083493,-0.27785101994515654,-0.8048270817315871,Sprinkler,Inorganic,-1.287944215497088,-0.4466893045486199,1.1566535560925546,-0.1258941380893301,Severe,-0.4466893045486199,1.5184782875164304,-1.09185615990183,-0.46695678089956505,0.4748535008808409
South USA,Wheat,0.25344041783045845,1.0872648910521188,0.5042081606449682,1.1595593487090425,0.25126401486279093,0.7099856061041241,Drip,Mixed,-0.8588058836856937,1.4602020702587233,-0.9390661918084563,1.1296231048686332,Mild,1.4602020702587233,-0.5165073365183669,1.0099898265573288,0.5230025332401688,0.5546492161031071
Central USA,Maize,-0.9290172295850408,-0.8444500344044606,1.6944288155565177,0.4198828573526552,0.3599581886799266,-1.1835302536905146,Sprinkler,Organic,-0.05966842480016447,0.8642985156314286,0.16609565571123522,-0.9248596563353061,Severe,0.8642985156314286,0.25765994940491566,-0.42735329860907506,-1.0344827747698546,1.533749422878106
Central USA,Cotton,-0.7278317749789006,-1.0324930802453671,1.71875722516949,1.2102372962635979,-0.6470010442297713,0.5324684942483763,Sprinkler,Mixed,-0.0710413487880991,-0.8638217927877262,0.8071822604977688,1.357898967224626,Severe,-0.8638217927877262,-0.48791467782109604,0.11078870289833447,-0.8842389256935751,0.5587235900819982
Central USA,Rice,1.790931220433263,-1.2718205931337925,0.03635412962627702,0.792905782795206,1.2213082453440276,-1.2486198613709556,Sprinkler,Mixed,-0.19614351265537822,-0.3275085936231609,0.29884565397690027,1.2437610360466291,Severe,-0.3275085936231609,-0.34440484264553767,2.041685895500925,1.2564371495568258,0.9145704397784289
North India,Soybean,0.9398378511925831,0.8821270228620394,-0.5381706204646758,-0.8073265666255661,-1.1815849682863797,-1.7811711969381978,Manual,Mixed,0.9631365391814092,1.5197924257214528,0.39912197690438306,0.9013472425126396,Severe,1.5197924257214528,-0.4879617116120237,-0.1467286570099471,1.1948564495657363,-1.1192593085249776
East Africa,Maize,0.03450330546495332,-1.374389527228833,-0.4520854787572364,1.5874141518335716,1.0353660108895553,-0.9409235341543265,Sprinkler,Mixed,1.593954723045508,0.08962389461594543,1.0493540550866831,0.5589334489786496,Mild,0.08962389461594543,-0.6854357270842328,1.0968038232031747,-0.28829209300141306,0.3622650396184831
Central USA,Soybean,1.3599604181642282,-0.297415719230917,-1.017253148227816,0.04339832347058552,0.7728593269538291,-1.0770199865770664,Manual,Inorganic,1.7584830234042936,-0.089147171772243,1.3343467800952893,-0.5824458628013163,Mild,-0.089147171772243,-0.48998489372100784,0.9085971476604437,1.224664427410101,-0.26805588958662807
East Africa,Rice,-1.6272491014534087,0.67698915467196,-1.5899064821946938,-1.5900654669695675,-1.6149944412427601,-0.6213927328139812,Sprinkler,Inorganic,0.645452862451773,-1.2809542810268326,0.7334133208515836,-0.1258941380893301,Severe,-1.2809542810268326,-0.06230504713117904,-1.4730733381757775,-1.5303945774448255,-1.8597629881725126
